item_code,law_name,article_no,clause_no,answer,note
NOTICE,AI 기본법,제31조,①,,"인공지능사업자는 고영향 인공지능이나 생성형 인공지능을 이용한 제품·서비스를 제공하려는 경우, 해당 인공지능에 기반하여 운용된다는 사실을 이용자에게 사전에 고지해야 합니다."
NOTICE,AI 기본법 시행령,제23조,①,,"제품에 직접 기재하거나 화면 표시, 게시 등의 방법으로 사전에 고지해야 합니다."
NOTICE,AI 기본법,제43조,①1호,false,"제31조① 고지 의무를 위반하면 3천만원 이하의 과태료가 부과됩니다."
OBJECTION,AI 기본법 시행령,제25조,④,,"회신 결과에 이의가 있을 때에는 회신을 받은 날부터 10일 이내에 재확인 요청서를 제출해야 합니다."
OVERSIGHT,AI 기본법,제34조,①4호,,"고영향 인공지능에 대해 사람이 관리·감독하는 조치를 이행해야 합니다."
RISK_MANAGEMENT,AI 기본법,제34조,①1호,,"위험관리방안을 수립·운영해야 합니다."
RISK_MANAGEMENT,AI 기본법 시행령,제27조,①1호,,"위험관리정책·조직체계 등 위험관리방안의 주요 내용을 게시해야 합니다."
DOCUMENTATION,AI 기본법,제34조,①5호,,"안전성·신뢰성 확보 조치 내용을 확인할 수 있는 문서를 작성·보관해야 합니다."
DOCUMENTATION,AI 기본법 시행령,제27조,②,,"고영향 인공지능에 대한 안전성·신뢰성 확보 조치를 이행하고 그 근거를 문서로 5년간 보관(전자적 방법 포함)해야 합니다."
